,Unnamed: 0,index,user_id,created_at,text,state,county,category
680,24936,268,151335056,8/26/2017,had to get out of the house. water's highest i've seen #hurricaneharvey (@ eldridge park) https://t.co/1dnmcp4hvf https://t.co/fmoxr9yjgj,Texas,Fort Bend County,home
708,25382,847,46736295,8/26/2017,get out of the house walkabout. #hurricaneharvey #izzy @ glenbrook?? https://t.co/4ztucvgxgu,Texas,Harris County,home
718,25585,240,24405317,8/26/2017,"taking shelter #harvey @ shady hollow, texas https://t.co/yly0nqurzc",Texas,Travis County,home
734,25737,473,21223250,8/26/2017,#houston #hurricaneharvey #2017 #i45 at #whiteoakbayou @ leonel castillo community center https://t.co/jv6srm6z4c,Texas,Harris County,transportation
740,25939,735,58624342,8/26/2017,second shelter opens in dallas for hurricane harvey evacuees https://t.co/okffoddngz,Texas,Dallas County,home
756,26316,388,385525679,8/26/2017,"i've had no power and i need to eat. #feedme #hurricaneharvey #harvey #sanantonio (@ whataburger in san antonio, tx) https://t.co/pixugdm8yl",Texas,Bexar County,power
805,27392,99,{'$numberLong': '2611905614'},8/26/2017,well ended up having brunch at home due to hurricane harvey (dent) haha hope everyone is staying?? https://t.co/qoc8kapsph,Texas,Bexar County,home
806,27405,116,384597471,8/26/2017,#harvey is pretty well behaved so far at our house. @ northwest?? https://t.co/zil7meizll,Texas,Travis County,home
833,28006,23,271766331,8/26/2017,rainy days are meant for working from home and ordering some ramen #texas #hurricaneharvey?? https://t.co/s67xbinheg,Texas,Travis County,home
845,28181,258,25433617,8/26/2017,#hurricaneharvey ain't gonna stop the show!! @mug4dayz will be in the house tomorrow!!! see u?? https://t.co/rgqeqf1tsb,Texas,Travis County,home
868,28543,761,213535614,8/26/2017,"the ""creek"" running by the house. i'm just thankful that it's moving. #harvey #somuchrain @?? https://t.co/sfv0f0ggqr",Texas,Fayette County,home
887,28943,430,15986574,8/26/2017,"power still on, wifi out, part of a tree down. i'm carrying on the studio while #hurricaneharvey?? https://t.co/fxdg7xtgs2",Texas,Travis County,power
889,29047,565,1428286710,8/26/2017,"harvey wallbuilder- tito's vodka, licor 43, fresh squeezed orange juice
no tequila because a mexican isn't building?? https://t.co/kwgs2t74w5",Texas,Harris County,home
920,30629,13,1624023966,8/26/2017,all the rain from #harvey has given me a lot of time to get used to my new home! #ut21 @ dobie?? https://t.co/fe0dnhmhhw,Texas,Travis County,home
922,30666,57,448036275,8/26/2017,hurricane harvey is wreaking rain ?????? outside of my girlfriends' house today. staying cozy with a?? https://t.co/yktvoeatfa,Texas,Harris County,home
932,30853,327,218399961,8/26/2017,hurricane harvey couldn't stop my family's birthday dinner ???????????????? @ saltgrass steak house https://t.co/1dcpynmcbl,Texas,Harris County,home
933,30862,337,531904941,8/26/2017,leave it to harvey to make me miss home. @ texas https://t.co/l6uwxwlnls,Texas,Menard County,home
935,30895,390,187618258,8/26/2017,"since i have been stuck in the house for 2 days because of #hurricaneharvey, i was able to?? https://t.co/gsdgozrtli",Texas,Harris County,home
937,30909,409,286067085,8/26/2017,this is how we do it #harvey #2017 #texas @ house of gore https://t.co/a4lvuktbr8,Texas,Brazoria County,home
938,30976,511,187618258,8/26/2017,"since i have been stuck in the house for 2 days because of #hurricaneharvey, i was able to?? https://t.co/baj7nrzxul",Texas,Harris County,home
954,31299,32,333426644,8/26/2017,shelter opens for hurricane harvey https://t.co/mygzm6lsod,Texas,Dallas County,home
958,31360,111,1327252579,8/26/2017,shelter opens for hurricane harvey https://t.co/zvqnjuk085,Texas,Dallas County,home
961,31403,170,{'$numberLong': '2849942284'},8/26/2017,video: lucky driver escapes flooded car after harvey hits cypress area https://t.co/fnvoptxrj9,Texas,Harris County,transportation
966,31437,208,321576123,8/26/2017,????house of the week ???? so while we all are waiting out #hurricaneharvey why don't we enjoy?? https://t.co/kwfgb2pewe,Texas,Travis County,home
971,31497,288,14507742,8/26/2017,"signals and lines down in seguin, tx #hurricaneharvey @ seguin, texas https://t.co/mhucamrmp6",Texas,Guadalupe County,power
972,31505,298,63134678,8/26/2017,#hurricaneharvey @ moore house https://t.co/yspuqannm9,Texas,Travis County,home
975,31522,319,58624342,8/26/2017,at 6: we visit what's left in rockport after hurricaneharvey. barely a home or business untouched. incredible.?? https://t.co/smgfgvizmb,Texas,Dallas County,home
993,31822,702,68341255,8/27/2017,checking out the bayou by my house before the next rain band hits. #harvey #pasadena @ crenshaw?? https://t.co/mhqxcaitxk,Texas,Harris County,home
999,31899,807,311525257,8/27/2017,"torrontes, hatch pepper cheese..hurricane relief #hurricaneharveyready @ home anew https://t.co/qvdef2bsuz",Texas,Harris County,home
1008,32004,66,{'$numberLong': '3817486992'},8/27/2017,"full house...
all day...
and they want to still ask me questions?
... surviving #harvey #houston?? https://t.co/huktgtygbn",Texas,Harris County,home
1028,32321,484,121572192,8/27/2017,when it's only been like 24 hours of hurricane harvey house arrest and you're already losing it.?? https://t.co/r7lopwygvb,Texas,Harris County,home
1085,33120,607,37956585,8/27/2017,should i be scared by this lightning over my house?? ???? #faceofharvey?? https://t.co/brdebdytap,Texas,Fort Bend County,home
1094,33172,673,22994798,8/27/2017,"in the middle of #hurricaneharvey, there is one #uber driver. #stormsurgepricing @ houston, texas https://t.co/fxqbymvdip",Texas,Harris County,transportation
1120,33402,102,17589041,8/27/2017,side effects of #hurricaneharvey @ our home https://t.co/9bcdaet45m,Texas,Harris County,home
1132,33543,297,14617482,8/27/2017,stay safe. stay indoors. stay off the road. #harvey #tsharvey #hurricaineharvey,Texas,Harris County,transportation
1145,33700,497,{'$numberLong': '890359620375646208'},8/27/2017,"tracking harvey weather channel live coverage hurricane harvey * live co...4"" of rain in the last hour i45/belt8 https://t.co/dyb61rcy9d",Texas,Harris County,transportation
1155,33867,706,1253011800,8/27/2017,#hurricane #harvey #damage #trees #aftermath #longwaytogo #noelectricity #power #outage?? https://t.co/kuu02llquy,Texas,Victoria County,power
1174,34118,144,199511216,8/27/2017,"#harvey #hurricaneharvey  #austintx  walked home lol ???? #got7  lol @ hyde park (austin, texas) https://t.co/4wfjgppwgf",Texas,Travis County,home
1175,34121,147,{'$numberLong': '871437799152533504'},8/27/2017,"i'm the blue dot nw of houston, we still have power. #tropicalstormharvey #hurricaneharvey #houston #houwx?? https://t.co/yt1qtqc8f6",Texas,Harris County,power
1197,34455,549,101673987,8/27/2017,they have opened a shelter in #friendswood for those stranded and having to be evacuated. #harvey #hurricaneharvery,Texas,Harris County,home
1202,34516,622,953142805,8/27/2017,flipping home made tortillas for hurricane harvey relief. @ guerrilla gourmet https://t.co/ickqfr3uol,Texas,Victoria County,home
1226,34859,144,60466297,8/27/2017,brick house gully. #hurricaneharvey @ t.c. jester park https://t.co/wwirwdkc3o,Texas,Harris County,home
1248,35393,770,119888198,8/27/2017,this damn hurricane harvey shit! i hope my power don't go out while?? https://t.co/hlrhumsplh,Texas,Harris County,power
1253,35543,31,{'$numberLong': '2452134079'},8/27/2017,well #hurricaneharvey has made his impact on us - no one can get home so it's an impromptu?? https://t.co/lwfd4uwarg,Texas,Harris County,home
1278,36047,649,11062462,8/27/2017,"more from the front of our building. #hurricaneharvey @ conroe, texas https://t.co/oz7aw1rvgc",Texas,Montgomery County,home
1285,36133,751,14734174,8/27/2017,just praying that massive tree doesn't crash into our house. #hurricaneharvey #austin #texas?? https://t.co/q6jt0cveaj,Texas,Travis County,home
1293,36279,46,{'$numberLong': '4510052353'},8/27/2017,ok harvey..... stop dumping please... amazingly we still have power!?? https://t.co/wnjgx2fha7,Texas,Galveston County,power
1294,36300,78,604309260,8/27/2017,big tree branch fell on our house overnight. yay. #harvey @?? https://t.co/7xz22tjdky,Texas,Travis County,home
1295,36301,79,604309260,8/27/2017,big tree branch fell on our house overnight. yay. #harvey @?? https://t.co/7xz22tjdky,Texas,Travis County,home
1348,38320,91,52509561,8/27/2017,my family is safe and our house is still dry (mostly) but nassau bay is under water. #harvey?? https://t.co/ofuahommnh,Texas,Harris County,home
1360,38522,350,58624342,8/27/2017,pictures out of houston this morning show significant flooding across metro. harvey expected to drop as much as?? https://t.co/pgydsigolq,Texas,Dallas County,transportation
1365,38615,475,133840030,8/27/2017,"no school till next week. #hurricaneharvey stay safe @ pearland, texas https://t.co/gzrzfmeynj",Texas,Brazoria County,home
1398,39221,356,619645224,8/27/2017,hurricane harvey blues?  hit the gym while you still have power!! @ galleria area https://t.co/46eri8s3ef,Texas,Harris County,power
1410,39351,516,35885975,8/27/2017,"hurricane harvey wasn't stopping our 4th annual #sneakerheadsclothingline ""back 2 school""?? https://t.co/pa51hinedt",Texas,Bexar County,home
1457,40255,775,357009391,8/27/2017,right by my house off of 762 the road has collapsed #hurricaneharvey?? https://t.co/c3ngylzwzc,Texas,Fort Bend County,transportation
1504,41032,866,103986981,8/27/2017,hobby airports road from the terminal to the hanger (last night). #harvey2017 @ william p. hobby?? https://t.co/xaejsw0ikg,Texas,Harris County,transportation
1513,41156,138,237587620,8/27/2017,"perspective. 

the creek 3 blocks from my house on friday. and now. ????

#harvey #rainraingoaway?? https://t.co/cgmf0ptgxl",Texas,Harris County,home
1528,41456,533,78370008,8/27/2017,"poor birds house didn't stand no chance with harvey. ????

#harveystillsucks #harveymess @ austin,?? https://t.co/92hdsskkud",Texas,Travis County,home
1544,41621,734,{'$numberLong': '2850435082'},8/27/2017,"harvey extends the summer: no school in hisd until sept. 5, district announces https://t.co/zkpg5jq2ij",Texas,Harris County,home
1555,41792,55,18453915,8/27/2017,"we are all safe and at my brother's, but harvey got our house.?? https://t.co/ypoem0alcd",Texas,Montgomery County,home
1572,41975,282,93730189,8/27/2017,"d??a 3
hwy 6
#harvey @ houston energy corridor https://t.co/tir5xhkakb",Texas,Harris County,transportation
1597,42228,598,250372149,8/27/2017,my phone every few minutes during #hurricaneharvey has been pretty much like this at this point.?? https://t.co/dnjmn1hxfp,Texas,Harris County,power
1617,42672,293,483346662,8/27/2017,hurricane harvey is no joke love you guys be safe out there! no school tomorrow!! hawk nation?? https://t.co/jtpbx3drxm,Texas,Harris County,home
1651,43244,147,19094933,8/27/2017,here's the aftermath from #hurricaneharvey. neighborhood is flooded but house is good and we?? https://t.co/gtpaiuog2i,Texas,Brazoria County,home
1663,43396,337,176284401,8/27/2017,"looking at i10, and 45 from the 17th floor of the rice lofts #hurricaneharvey #houston #flood @?? https://t.co/a4zmyjmpki",Texas,Harris County,transportation
1671,43469,429,{'$numberLong': '2453757306'},8/27/2017,well #hurricaneharvey is working our yard over something fierce... @ home o/t diaz &amp; lehmans https://t.co/8rdp7jxkyb,Texas,Travis County,home
1744,45260,64,385381711,8/27/2017,that??s texas highway 288 down there looking like a river. #hurricaneharvey #instagram #besafe @?? https://t.co/3fqpuxzulm,Texas,Harris County,transportation
1748,45311,124,{'$numberLong': '2850315393'},8/27/2017,"hurricane harvey impacts school openings, football games https://t.co/rxubhqhtku",Texas,Harris County,home
1750,45324,139,{'$numberLong': '2850405682'},8/27/2017,"hurricane harvey impacts school openings, football games https://t.co/75ddkcm5oz",Texas,Brazoria County,home
1754,45337,154,{'$numberLong': '2850435082'},8/27/2017,"hurricane harvey impacts school openings, football games https://t.co/bplvo1hut6",Texas,Harris County,home
1758,45368,192,{'$numberLong': '2851616002'},8/27/2017,"hurricane harvey impacts school openings, football games https://t.co/wkxor1jmkb",Texas,Montgomery County,home
1761,45392,221,{'$numberLong': '2883942865'},8/27/2017,"hurricane harvey impacts school openings, football games https://t.co/hkt0skvcn1",Texas,Galveston County,home
1762,45400,231,{'$numberLong': '2339497392'},8/27/2017,"harvey needs to go home! @ brays oaks, houston https://t.co/awaykzfbfe",Texas,Harris County,home
1764,45408,239,{'$numberLong': '2863330414'},8/27/2017,"hurricane harvey impacts school openings, football games https://t.co/ns0s92j9fi",Texas,Galveston County,home
1765,45410,241,{'$numberLong': '2863312371'},8/27/2017,"hurricane harvey impacts school openings, football games https://t.co/axpmq29ncc",Texas,Harris County,home
1767,45449,289,{'$numberLong': '2864061615'},8/27/2017,"hurricane harvey impacts school openings, football games https://t.co/fpoksqlm2w",Texas,Fort Bend County,home
1768,45468,314,{'$numberLong': '2865999088'},8/27/2017,"hurricane harvey impacts school openings, football games https://t.co/zizrkitucz",Texas,Harris County,home
1769,45488,336,{'$numberLong': '2870769851'},8/27/2017,"hurricane harvey impacts school openings, football games https://t.co/dudgmhdjov",Texas,Brazoria County,home
1770,45495,344,{'$numberLong': '2870795963'},8/27/2017,"hurricane harvey impacts school openings, football games https://t.co/ngff2ukrbn",Texas,Harris County,home
1777,45521,384,94722570,8/27/2017,#harvey..... people were boogie boarding earlier @ 288 @ hwy 6 https://t.co/tsbnj02rb7,Texas,Brazoria County,transportation
1778,45558,429,63265824,8/27/2017,"no highway left #hurricanharvey @ washington ave - memorial, houston https://t.co/ikvzdto4h6",Texas,Harris County,transportation
1779,45561,432,136380084,8/27/2017,making the best of being stuck in the house and drinking a #hurricane ????????????#hurricaneharvey?? https://t.co/x8mgelq6rw,Texas,Harris County,home
1783,45579,453,{'$numberLong': '2883867506'},8/27/2017,"hurricane harvey impacts school openings, football games https://t.co/ptmvur2hmn",Texas,Harris County,home
1786,45624,508,{'$numberLong': '2875712475'},8/27/2017,"hurricane harvey impacts school openings, football games https://t.co/ixfl63vuvg",Texas,Harris County,home
1787,45626,511,1597601,8/27/2017,"my sister's house. #hurricaneharvey #staysafe @ fall creek, texas https://t.co/idyik6shte",Texas,Hood County,home
1820,46110,237,1597601,8/27/2017,"my sister's house. #hurricaneharvey #staysafe @ humble, texas https://t.co/idyik7aikm",Texas,Harris County,home
1848,46434,682,155298481,8/27/2017,"houston traffic report - more than 250 high water spots thanks to #hurricaneharvey @ houston, texas https://t.co/txf8cnzr3q",Texas,Harris County,transportation
1857,46550,830,58624342,8/27/2017,"city preparing dallas convention center to take in hurricaneharvey evacuees. can house up to 5,000 gulf coast?? https://t.co/chg0l4wifk",Texas,Dallas County,home
1871,46815,308,182208659,8/27/2017,"fuck you, harvey!
blue truck=todd
black car=chadwick 
blue roof that you can barely?? https://t.co/uzqo3owuwt",Texas,Harris County,transportation
1891,47106,693,58624342,8/27/2017,dallas prepares convention center as mega shelter for harvey flooding victims. --?? https://t.co/6zugjvf6jw,Texas,Dallas County,home
1909,47498,317,38748868,8/27/2017,"in case you lose power, tornado, or need to be rescued. #reposteverything #hurricaneharvey?? https://t.co/sbcepeg7bn",Texas,Harris County,power
1923,47624,473,{'$numberLong': '3526141635'},8/27/2017,"the gully near my house.  

#thewoodlandstx #hurricaneharvey2017 #grogansmill @ the woodlands,?? https://t.co/asqotiflku",Texas,Montgomery County,home
1974,48261,381,58624342,8/28/2017,are you or someone you know looking for shelter in dallas after hurricane harvey? share this post with a texan in n?? https://t.co/amly8vyvy8,Texas,Dallas County,home
1980,48337,472,{'$numberLong': '3012125493'},8/28/2017,"for anyone close to #galleryfurniture and need shelter . #hurricaneharvey #houston @ houston, texas https://t.co/vhtvadgyi1",Texas,Harris County,home
2011,48781,140,298152180,8/28/2017,in spite of the ongoing effects of #hurricaneharvey and power outages at #northcampus - this?? https://t.co/va5eiwh9if,Texas,Williamson County,power
2052,49344,6,218399961,8/28/2017,"important phone numbers ???? #houston #hurricaneharvey @ houston, texas https://t.co/5scv0euzqh",Texas,Harris County,power
2063,49459,155,96064367,8/28/2017,"when you can't stand to stay in the house any longer #harvey @ the woodlands, texas https://t.co/fvctsxbmbo",Texas,Montgomery County,home
2091,49883,663,117934672,8/28/2017,i just moved my car up as close to the house as possible! #goawayharvey #hurricaneharvey @?? https://t.co/ol9bsay7kf,Texas,Harris County,transportation
2102,50004,811,24728198,8/28/2017,"my hotel, aka my home away from home, this past week pre-harvey. 
#stephenfaustinhotel?? https://t.co/4bgsxhkosh",Texas,Travis County,home
2132,50317,273,114664830,8/28/2017,house is officially flooded.  it's still raining too. #hurricaneharvey2017 #hurricaneharvey?? https://t.co/xncpizc582,Texas,Harris County,home
2140,50466,439,218399961,8/28/2017,"we are setting up a network! join now!  #houston #hurricaneharvey 
???????????????????????????????????????? @ houston, texas https://t.co/jvgvrqxgw2",Texas,Harris County,power
2145,50519,507,65178156,8/28/2017,@regrann from @loumuzik  -  we are setting up a network! join now!  #houston #hurricaneharvey?? https://t.co/pyjchoyeau,Texas,Montgomery County,power
2165,50921,64,54479951,8/28/2017,sharing my favorite comic with my hurricane harvey group.  thank god we still have power and?? https://t.co/ebvdzsqogc,Texas,Harris County,power
2168,50960,104,50813794,8/28/2017,"#hurricaneharvey: #repost @djmrrogers (get_repost)
?????????
road closures and the lack of deep?? https://t.co/w6uq7rlagz",Texas,Brazoria County,transportation
2169,50968,112,50813794,8/28/2017,"#hurricaneharvey: #repost @loumuzik (get_repost)
?????????
we are setting up a network! join now!?? https://t.co/jbk1ajtpqo",Texas,Harris County,power
2179,51112,272,368119165,8/28/2017,"new shelter opened in the greenspoint area. #repost harveyrescuepage (get_repost)
?????????
try to get?? https://t.co/kj0et1qdrs",Texas,Harris County,home
2201,51594,825,518583210,8/28/2017,text harvey to 90999 to donate $10 to red cross 4 texas relief (charged 2 your phone bill). @?? https://t.co/efxxukosst,Texas,Jefferson County,power
2205,51650,897,58624342,8/28/2017,we're live this morning as preparations are underway at the dallas mega shelter. nbc dfw harveyrelief https://t.co/srivmq3f7o,Texas,Dallas County,home
2206,51651,898,58624342,8/28/2017,check out our map below for open shelter locations in harris county! stay safe! hurricaneharvey https://t.co/ndmcenltht,Texas,Dallas County,home
2239,53146,30,11062462,8/28/2017,reporting again live from conroe. still raining. still have power. expect #harvey to head back?? https://t.co/cqaezgikzs,Texas,Montgomery County,power
2244,53195,90,48529163,8/28/2017,no water in the house and power is still on. but we aren't going anywhere. #hurricaneharvey2017?? https://t.co/we2i41nyhp,Texas,Harris County,power
2254,53482,501,31661882,8/28/2017,"#repost harveyrescuepage
?????????
please repost! a few shelter spots #hurricaneharvey #harvey2017?? https://t.co/3u4cb1d12l",Texas,Harris County,home
2272,54035,352,29504539,8/28/2017,the only thing good about hurricane  harvey is that my bestie gets to evacuate to my house for?? https://t.co/37er9rwq4b,Texas,Bexar County,home
2280,54117,449,298621473,8/28/2017,"still closed due to harvey (at @lowes home improvement in houston, tx) https://t.co/gqfl40ey6n",Texas,Harris County,home
2322,55226,164,{'$numberLong': '2461552544'},8/28/2017,"hey harvey.... screw you. open house is still on. please note, the vendors have for the event?? https://t.co/8hiqrglyji",Texas,Travis County,home
2326,55286,242,35246187,8/28/2017,"day 3 #hurricaneharvey. ??loaded the looter shooter, the pof p-308, the steiner r1x, colt lights?? https://t.co/ekplwonucu",Texas,Harris County,power
2328,55305,270,1120341,8/28/2017,#dailypic #stillraining #harvey @ tomball high school https://t.co/em1on6z6ev,Texas,Harris County,home
2333,55463,471,1920000954,8/28/2017,#houston and #galvestoncounty is seeing both. #devastated #harvey #home #texas @ galveston?? https://t.co/yfgrcn8i7m,Texas,Galveston County,home
2335,55528,555,58624342,8/28/2017,"city of dallas getting the mega shelter set up right now. they are preparing for 5,000 people to stay. harvey?? https://t.co/rfetzduabg",Texas,Dallas County,home
2355,55918,164,{'$numberLong': '3012125493'},8/28/2017,"?????????? for anybody needing shelter or that is stranded #hurricaneharvey #houston @ houston, texas https://t.co/aga0r4gxuy",Texas,Harris County,home
2390,56559,119,248689871,8/28/2017,these little girls sure made our weekend stuck at home while #harvey rained on the #atx a lot?? https://t.co/quum8ijzci,Texas,Travis County,home
2393,56618,196,497454798,8/28/2017,"harvey day 4 | the rain continues to fall. we are safe, have power and water.  the city is?? https://t.co/bwreis1rdw",Texas,Harris County,power
2402,56744,357,132947560,8/28/2017,heb at mason rd. long line to get in. only letting in 50ppl at a time. #hurricaneharvey @ h-e-b?? https://t.co/26nhket94v,Texas,Harris County,power
2415,56843,486,36138306,8/28/2017,the lines are out the doors on both sides... #harveywontwin kroger is packed to the rims.....?? https://t.co/ig260pgcxn,Texas,Menard County,power
2424,57001,700,41541523,8/28/2017,"hwy 6 / interstate 10?????????????????
.
.
.
.
#hurricaneharvey #houston #texas #hurricane #storm #weather?? https://t.co/tquwxjvyay",Texas,Harris County,transportation
2457,57573,566,{'$numberLong': '3012125493'},8/28/2017,pearland and manvel if you need shelter contact @bxtchimbreyohn ?????#hurricaneharvey #pearland?? https://t.co/mlo11xgnof,Texas,Harris County,home
2464,57659,671,69049527,8/28/2017,"praying for safety, shelter and strength for all affected by hurricane harvey. for all of the?? https://t.co/aoibuxidj6",Texas,Menard County,home
2558,58325,587,19110410,8/28/2017,"#harvey, you're a real bastard at this point. take your rain and go home. #hurricaneharvey @?? https://t.co/vlhyiodg9k",Texas,Harris County,home
2572,58383,666,342536806,8/28/2017,this is the line to get into heb on pearland parkway #hurricaneharvey @ h-e-b grocery https://t.co/tjcsv8sbhp,Texas,Brazoria County,power
2611,58588,14,{'$numberLong': '2875734329'},8/28/2017,harvey knocks out power to thousands of customers https://t.co/dpnpppygrj,Texas,Montgomery County,power
2622,58659,98,30566391,8/28/2017,in line trying to get more food for me and my guys!! #unbelievable #harvey2017 (at @heb) https://t.co/ro4gxbz8tk https://t.co/q2b7vusste,Texas,Brazoria County,power
2631,58770,240,{'$numberLong': '3012125493'},8/28/2017,"shane home is open ...  shiggitty_ ?????????? #jerseyvillage #hurricaneharvey @ houston, texas https://t.co/gi169cizb2",Texas,Harris County,home
2641,58885,386,1534112317,8/28/2017,safe and dry #blessed #prayers #hurricaneharvey2017 #surviving @ jenni's noodle house https://t.co/acdazeygpv,Texas,Harris County,home
2653,59073,617,368119165,8/28/2017,"if you need shelter! #repost @jaiesbaptiste (get_repost)
#harveyrescuepage #houstonflood?? https://t.co/0nc2jt1ksj",Texas,Harris County,home
2671,59540,296,896584452,8/28/2017,update from i-45: i'm the blue dot on the edge of #harvey; dark sky &amp; gusts that seem strong enough to rip my car d?? https://t.co/zabcwmo9gx,Texas,Madison County,transportation
2699,59944,823,19185382,8/28/2017,checking on roof damage &amp; leaks inside the building after #hurricaneharvey (@ trinity christian center) https://t.co/l83c19peum,Texas,Bee County,home
